Sigla
BO
FE
FC
MO
PR
PC
RA
RE
RN
GO
PN
TS
UD
GE
IM
SP
SV
BG
BS
CO
CR
LC
LO
MN
MI
MB
PV
SO
VA
AL
AT
BI
CN
NO
TO
VB
VC
BZ
TN
AO
BL
PD
RO
TV
VE
VR
VI
